"","job_titles","Position","Agency","Job.Category","Closes","job_descriptions","links"
"1056","Manager, Public Affairs","Manager, Public Affairs","Economic Development Board","Marketing/Business Development, Public Relations/Corporate Communications/Psychology","1 Dec 2020"," EDB – Creating Economic Growth and Job Opportunities for Singapore     You will be part of a dynamic team managing EDB’s corporate reputation. You will conceive, develop and implement strategies to position EDB and the various industries under EDB’s mandate.     In this role, your responsibilities will include:     Take a data driven approach to develop and execute strategic communications plans to position EDB, as well as identify opportunities to position and profile industry sectors in Singapore. This includes identifying media and speaking opportunities as well as platforms where EDB can gain mindshare and managing all aspects of the engagements. Develop narratives to ensure a coherent image and messaging for EDB and assigned industry sectors and ensure that all external communications, speeches and info materials align with the core narrative. Provide communications counsel and support to internal stakeholders for their public and media engagements. Keep abreast of media landscapes, narratives and trends both domestically and overseas to pre-empt and maximize media opportunities. Undertake regular reviews to assess and measure the effectiveness of messaging and communications efforts and propose enhancements, where applicable. Other tasks, as assigned     The deliverables for this role include:     Communications strategies and plans to drive corporate reputation and industry development objectives Messaging narratives Analytical reports to measure the effectiveness of messaging and communications efforts Day to day relationship management with internal and external stakeholders     The successful candidate should have/be:     At least 3 years of corporate communications, public affairs or journalism experience in either the public or private sectors. Strong understanding of the domestic and international media landscape and proven track record in public communications and media management. A keen ability in fostering strong partnerships, engaging and influencing external stakeholders to meet objectives Good analytical skills, with the ability to identify and distil pertinent issues, draw conclusions, and develop solutions that address business needs. Demonstrated experience in on-line listening and analytics Excellent written, communication and presentation skills Sound knowledge of the full spectrum of communication methodologies and tools. Able to work independently and at the same time, work effectively across teams. Singaporean     Join us today to make an impact!     Interested applicants can find out more on our EDB Careers Page (www.sedb.com/careers), or apply directly here.     We regret that only shortlisted applicants will be notified. ","https://careers.pageuppeople.com/688/cwlive/en/job/4002021/manager-public-affairs"
"1057","Assistant Manager (Constructive Simulation Systems)","Assistant Manager (Constructive Simulation Systems)","Ministry of Defence - DXO","InfoComm, Technology, New Media Communications","27 Sep 2020","NA","https://careers.pageuppeople.com/688/cwlive/en/job/521328/assistant-manager-constructive-simulation-systems"
"1058","Assistant Director (Cyber Security)","Assistant Director (Cyber Security)","Ministry of Defence - DXO","InfoComm, Technology, New Media Communications","27 Sep 2020","NA","https://careers.pageuppeople.com/688/cwlive/en/job/526652/assistant-director-cyber-security"
"1059","Executive Architect/ Senior Architect/ Executive Engineer/ Senior Engineer (Building Plan & Universal Design Department, Building Plan and Management Group)","Executive Architect/ Senior Architect/ Executive Engineer/ Senior Engineer (Building Plan & Universal Design Department, Building Plan and Management Group)","Building and Construction Authority","Engineering","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You will be part of a team that administers the building regulations and develops new strategies that will shape a future-ready and inclusive built environment for Singapore. Your work will include reviewing building plans, performing site inspections, and granting of temporary occupation permits and certificates of statutory completion. You will also undertake studies on regulatory changes and trends in Universal Design (UD) as well as in the new areas of Building Information Modelling (BIM) and digitalisation standards. You are expected to work closely with internal and external stakeholders in the development of regulatory standards and the promotion of UD through outreach activities.   Requirements A degree in Architecture, Engineering, or Building-related discipline At least 3 years of relevant building design and project management experience Good command of spoken and written English Strong analytical, communication and interpersonal skills Able to work independently and as a team player, and perform under pressure BIM experience in modelling and 3D-based project delivery an advantage Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience. ","https://careers.pageuppeople.com/688/cwlive/en/job/532443/executive-architect-senior-architect-executive-engineer-senior-engineer-building-plan-universal-design-department-building-plan-and-management-group"
"1060","Executive Engineer/ Senior Engineer (Policy and Regulations Department, Building Engineering Group)","Executive Engineer/ Senior Engineer (Policy and Regulations Department, Building Engineering Group)","Building and Construction Authority","Engineering","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You will be part of a team that administers the Building Control Regulations and develops new strategies that will shape a future-ready Built Environment Sector. You will also undertake studies and build expertise in the new areas of Building Information Modelling (BIM), and contribute to the formulation of related guidelines and initiatives. You will be involved in: working with various stakeholders, which includes industry practitioners, technology providers and research institutions, to evaluate and adopt latest digital technology and develop solutions to support the regulatory framework of the built environment; providing technical support to help drive successful adoption of BIM tools  reviewing submissions on structural BIM models and includes structural software processing structural plan submissions, conduct site inspection to ensure safe design and construction Requirements   A degree in Civil and Structural Engineering   At least 3 to 5 years of working experience in engineering or construction   Good command of spoken and written English   Able to work independently as well as effectively as a team and possess eagerness to learn   Preferably to be formally trained in BIM (Diploma or Training certification), with at least 3 years of BIM coordination or BIM management experience in a design, engineering or construction firms or a large project   A keen interest in digital technology will have an added advantage.   Strong analytical, problem-solving, writing, presentation and interpersonal skills  Successful candidates will be offered contractual employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/532724/executive-engineer-senior-engineer-policy-and-regulations-department-building-engineering-group"
"1061","Civil Engineer (Civil Defence Shelter Engineering Department, Building Resilience Group)","Civil Engineer (Civil Defence Shelter Engineering Department, Building Resilience Group)","Building and Construction Authority","Engineering","1 Oct 2020"," Work location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You will vet and process building architectural and structural plans of civil defence shelters submitted by registered professionals, conduct regulatory site checks during construction, and carry out commissioning inspections and tests. In addition, you will perform analysis and design calculations to check the design of hardened structures and provide specialist support to other agencies on shelter and blast engineering matters. Requirements A degree in Civil. Those who possess qualifications in the field of protective engineering will have an added advantage. At least 5 years of working experience in design and/or supervision building and civil engineering works. Preferably a registered Professional Engineer (Civil) with Professional Engineers Board Singapore, or at least passed the Fundamentals of Engineering Examination. Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/534041/civil-engineer-civil-defence-shelter-engineering-department-building-resilience-group"
"1062","Senior Lecturer / Lecturer (Research & Development) - School of Information Technology","Senior Lecturer / Lecturer (Research & Development) - School of Information Technology","Nanyang Polytechnic","InfoComm, Technology, New Media Communications, Engineering, Enforcement","1 Oct 2020"," Responsibilities Strong interest to engage in applied research and development Role as a Principal Investigator to put up viable proposals to secure grants from national competitive funding schemes such as MOE TIF and NRF Led a team of researchers, development engineers and students to fulfil the required project deliverables for granted projects Supervise students in their final year projects Perform lecturing and tutoring duties for Pre-Employment Training (PET) or Continuing Education and Training (CET) courses Requirements Relevant qualification in Computer Science, Computer Engineering or Information Technology or related disciplines At least 2 years of relevant experience in software and system development  Good knowledge of emerging technologies such as Artificial Intelligence, Blockchain, Cybersecurity, Data Analytics, Cloud Computing, Internet-of-Things, Immersive Technology, etc. To apply, please visit our website at https://erecruit.nyp.edu.sg/eRecruitment/mainFrame.aspx ","https://careers.pageuppeople.com/688/cwlive/en/job/535654/senior-lecturer-lecturer-research-development-school-of-information-technology"
"1063","Engineer/Senior Engineer (Electrical and Mechanical Engineering Group)","Engineer/Senior Engineer (Electrical and Mechanical Engineering Group)","Building and Construction Authority","Engineering","1 Oct 2020"," Work location: 52 Jurong Gateway Road, #11-01, Singapore 608550 ResponsibilitiesYou will be required to review design and conformance to safety standards of lift and escalators. You will carry out in depth study, testing, verification and failure analysis on electronic hardware and software programmes in relation to lifts and escalators. Additionally you will be doing field inspection and investigation of incidents, and provide technical support to your team.   Requirements A degree in Electrical Engineering, Electronics Engineering or Computer Engineering. Attained Certified Functional Safety Expert or equivalent. Candidate should demonstrate deep knowledge in IEC61508. Possess experience in the design and testing of embedded systems for safety application, preferably in the area of lift and escalators. Previous experience in design, testing and verification of functional safety requirements in trains, aerospace or military equipment are also welcome. Registered/attaining registration as a professional electrical engineer with the Professional Engineers Board will be an advantage. Good oral communication and report writing skills are essential. Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/536179/engineersenior-engineer-electrical-and-mechanical-engineering-group"
"1064","Executive Engineer/Senior Engineer (Geotechnical Engineering Department, Building Engineering Group)","Executive Engineer/Senior Engineer (Geotechnical Engineering Department, Building Engineering Group)","Building and Construction Authority","Engineering","1 Oct 2020"," Work location: 52 Jurong Gateway Road, #11-01, Singapore 608550 ResponsibilitiesYou will be part of the team that process plans and calculations of the geotechnical structures such as building foundations, sub-structural works, and earth-retaining structures for excavation works which are submitted by professional engineers and accredited checkers. You are required to supervise staff, perform checks and reviews of geotechnical analyses, assessments and monitoring data, and perform geotechnical modelling and design reviews. You are also expected to conduct site checks and investigate on the construction effects on surrounding buildings. Requirements A post-graduate degree in geotechnical engineering such as MSc(Geotechnical Engineering), MSc(Soil Mechanics) or equivalent. A practising professional engineer registered with the Professional Engineers Board. At least 7 years of post-graduate design and construction experience in geotechnical works e.g. deep excavation works, tunnelling, deep foundation, ground improvement and stabilisation works. Experienced in the use of numerical modelling and geotechnical software. Good command of spoken and written English.  Successful candidates will be offered contract employment. The remuneration package offered shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/538640/executive-engineersenior-engineer-geotechnical-engineering-department-building-engineering-group"
"1065","Senior Engineer/ Principal Engineer (Transit Shelter Engineering Department, Building Resilience Group)","Senior Engineer/ Principal Engineer (Transit Shelter Engineering Department, Building Resilience Group)","Building and Construction Authority","Engineering","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You will process CD mechanical engineering plans (ACMV, Plumbing & Sanitary and Fire Protection Systems) of civil defence shelters in MRTstations submitted by consultants, conduct regulatory audit off-site and on-site inspections during construction, as well as to witness and assess shelter commissioning tests. In addition, you will provide CD specialist engineering advice to other agencies on shelter matters. Requirements • Degree in Mechanical engineering.• Min 1 to 5 years of mechanical engineering design and site supervision experience in building engineering works.• Experience in performance-based simulation softwares, e.g.computational flow dynamics, finite element analysis, blast analysis, etc.• Passing of PEB Fundamentals of Engineering Examination (FEE) and (PPE) would be an advantage. Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/538706/senior-engineer-principal-engineer-transit-shelter-engineering-department-building-resilience-group"
"1066","Engineer / Architect (Building Plan & Policies Department, Building Plan & Management Group)","Engineer / Architect (Building Plan & Policies Department, Building Plan & Management Group)","Building and Construction Authority","Engineering","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You will play a major role in administering the building regulations. You will be responsible for : approving submissions on building plans including the designs related to safety, environmental sustainability and barrier-freeaccessibility; performing site inspections and the granting of temporary occupation permits and certificates of statutory completion; reviewing and developing strategies, policies and processes related to building control; studying and analysing data for trends and information to shape policy directions in building control; and working closely with related agencies to develop and facilitate a pro-business environment for the industry. Requirements  A degree in Civil/Mechanical/Electrical Engineering or Architecture. At least 3-4 years of experience in building design or construction supervision is preferred. Expertise in a technical area under the Approved Document will be an advantage. Good command of spoken and written English. Good analytical, writing and communication skills. Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/538708/engineer-architect-building-plan-policies-department-building-plan-management-group"
"1067","Senior Engineer/Façade Engineer (Enforcement & Structural Inspection Department/Building Resilience Group)","Senior Engineer/Façade Engineer (Enforcement & Structural Inspection Department/Building Resilience Group)","Building and Construction Authority","Engineering, Enforcement","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You will be part of the team to review & administer the building regulations on the safety of the façades, including cladding, curtain wall and exterior features eg windows and air-conditioning units, of buildings. You are required to carry out site inspections and follow up with building owners to take measures in ensuring the safety of building façades. You will also be working closely with the industry to study and implement new policies, regulations and initiatives to enhance the safety of the building façades. Job requirements Minimum qualification: a)    Degree in civil & structural, preferably a practising professional engineer registered with the Professional Engineers Board. Candidates who are not registered PEs but are preparing for registration with the PE board would also be considered; b)    Degree in façade engineering. Minimum 5 to 7 years of relevant practical façade work experiences including cladding, curtain wall and other types of architectural finishes. Experience with façade system & design with good understanding of materials behaviours in glass, aluminium, steel, GRC & stone, and working knowledge of relevant standards and codes for facades. Ability to work independently. Good team player with strong interpersonal skills. Good verbal and written communication skills. Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/539124/senior-engineerfa%C3%A7ade-engineer-enforcement-structural-inspection-departmentbuilding-resilience-group"
"1068","Legal Counsel (Legal Department)","Legal Counsel (Legal Department)","Building and Construction Authority","Engineering, Law/Legal Services","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You will provide legal advice to BCA on regulatory and commercial issues, intellectual property issues and general areas of the law.  Your responsibilities include: assisting the various divisions in initial drafting of amendments to legislation under BCA’s purview so as to address BCA’s policy objectives; providing legal advice on the interpretation of legislation under BCA’s purview; reviewing investigation reports and ensuring that sufficient evidence has been obtained to support the recommended enforcement action; advising on risks arising from commercial arrangements concluded by BCA and drafting appropriate clauses to ensure relevant national interests are served; advising on intellectual property issues; providing sound legal advice on a broad range of legal issues; and working on such other areas as General Counsel may allocate from time to time. Requirements A law degree (LLB Hons) Advocate and solicitor of the Supreme Court of Singapore At least 4 years’ experience in private practice and/or as in-house counsel Prior experience in intellectual property matters is an advantage Strong analytical skills and can independently drive the completion of a matter with minimal supervision Diligent and responsible Possesses effective time management skills A team player who can communicate effectively with cross-functional stakeholders Solutions-driven Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience.  Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/539352/legal-counsel-legal-department"
"1069","Executive - Payroll (Human Capital Development Department, Corporate Development Group)","Executive - Payroll (Human Capital Development Department, Corporate Development Group)","Building and Construction Authority","Human Resources","1 Oct 2020"," Work location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities Assist to perform full spectrum of the payroll functions, such as, computation of employees’ salaries, allowances and deductions, processing of salaries, annual & ad hoc statutory submissions to CPFB & IRAS, preparation of payroll related journals for GL postings, preparation for payroll approval submission, preparation of salary details for invoicing, performing compliance payroll checks and headcount checks for payroll payment each month, preparation of payroll documents for audit sighting and budgeting etc. Process and verify staff claim and benefits payments Administration of Corporate Passes Assist to review, improve and deploy HR policies and procedures with proper document control Responsible for other administrative duties, ad-hoc services and projects  as assigned by the department Job Requirements: Diploma in business-related discipline Minimum 2 years of experience in payroll administration (payroll experience in government sector will be an advantage) with good knowledge of payroll procedures and legislation requirements.   Proficient in Microsoft Office, SAP or Prosoft or any payroll software will be an advantage Meticulous and able to work with tight deadlines Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/539653/executive-payroll-human-capital-development-department-corporate-development-group"
"1070","Executive Engineer/ Senior Engineer (Policy and Regulations Department, Building Engineering Group)","Executive Engineer/ Senior Engineer (Policy and Regulations Department, Building Engineering Group)","Building and Construction Authority","Engineering","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You will be part of the team that processes and approves the structural plans and calculations of the buildings submitted by Professional Engineers and Accredited Checkers. You are required to perform audit checks on selected structures, conduct construction site checks and take proactive actions to prevent damages to adjacent properties. You are also expected to investigate into complaints on buildings that are dangerous and assess their structural integrity and safety.  Requirements  A degree in civil and structural engineering.  At least 4 years of working experience in structural design and analysis of buildings or infrastructures.  Preferably a registered professional engineer with Professional Engineers Board Singapore or at least have passed both the PEB exams. Successful candidates will be offered contractual employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/539959/executive-engineer-senior-engineer-policy-and-regulations-department-building-engineering-group"
"1071","#SGUnitedJobs Systems Analyst (Network Specialist) (Contract)","#SGUnitedJobs Systems Analyst (Network Specialist) (Contract)","Urban Redevelopment Authority","InfoComm, Technology, New Media Communications","29 Sep 2020"," The Urban Redevelopment Authority is the national planning authority of Singapore. Our mission is to make Singapore a great city to live, work and play in by planning and facilitating the physical development of Singapore, in partnership with the community, to create a vibrant, sustainable and cosmopolitan city of distinction.   Systems Analyst (Network Specialist) Enterprise experienced with cloud and on-premise network architecture and services including Virtual Network, VPN Gateway,  DNS, Peering services, WAF, Firewall, CDN, traffic manager, application gateway, load balancer, network monitoring, network core and access switches, network access control, wireless controller and access points, DNS, network segregation planning and administration, troubleshooting using network sniffer and software defined data centre. If you know what we are talking about, you are the one we are looking for!   Requirements We are recruiting a Network Specialist that is experienced with cloud and on-premise network architecture and services including Virtual Network, VPN Gateway,  DNS, Peering services, WAF, Firewall, CDN, traffic manager, application gateway, load balancer, network monitoring, etc.  You will also design, setup, administer, tune, troubleshoot, review and document network infrastructure and data center operations. The job will be challenging but exciting. The candidate should have a degree in Computer Science or related disciplines. You should be highly self-motivated, capable of working independently and technically competent. Candidate should possess:   Minimum 1 - 3 years IT working experience with good proficiency in Cloud (Microsoft Azure preferred), and on-premise Network.  In the alternative, candidates should have at least an additional 3 to 5 years of relevant experience Technical experience in one or more of these areas would be an advantage In-depth knowledge of cloud network architecture and services such as IaaS, PaaS, CASB and Microsoft Azure VNet,  VNet peering, VPN gateway, Network Security Group, Traffic manager and Azure Monitor. Expertise to design, evaluate and implement network technical solutions and operations Confident to support and interact with other technical domain experts in tackling and solving integration, interfacing and other operational issues Familiar with cloud and on-premise network and data center performance administration, monitoring and tuning improvement works Knowledge in cloud, networking, firewall and IT security Good presentation, communication and writing skills.   Appointment will commensurate with experience. Fresh graduates are welcome to apply. ","https://careers.pageuppeople.com/688/cwlive/en/job/540389/sgunitedjobs-systems-analyst-network-specialist-contract"
"1072","#SGUnitedJobs Temporary Inspection/Enforcement Officers","#SGUnitedJobs Temporary Inspection/Enforcement Officers","Building and Construction Authority","Engineering, Enforcement","1 Oct 2020"," Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You are required to perform inspections on facilities, construction sites and dormitories to ensure that relevant criteria, guidelines and standards are adhered to; and carry out enforcement duties and follow-up on compliance of offences. You are also expected to prepare reports after inspections and audits, follow-up with the facilities, construction sites and dormitories to close off any non-compliances. Requirements  A diploma in civil and structural engineering, architecture, construction-related, building services   Relevant experience as a Safety Officer will be an advantage   Relevant experience in carrying inspections will be an advantage    Able to work on weekends/rotational basis   Good oral communication and report writing skills   Training will be provided   Able to commit to at least 3 months   Proficient in Microsoft Office  This is a 6-month contract position (renewable). Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/540637/sgunitedjobs-temporary-inspectionenforcement-officers"
"1073","#SGUnitedJobs Senior Manager (Department of Transformation & Digitalisation, Strategic Planning and Transformation Office)","#SGUnitedJobs Senior Manager (Department of Transformation & Digitalisation, Strategic Planning and Transformation Office)","Building and Construction Authority","Engineering","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 The Department of Transformation & Digitalisation (DoTD) plays an important role in prioritising and managing the portfolio of transformation projects, track progress, oversee support and to seek resource to fund these transformation projects. These works are organised in various capability development areas. We are looking for candidates to assume the post in leading the respective capabilitydevelopment efforts. This position shall oversee the development programmes under the respective capability development areas. The role will involve synchronising the projects deliverables as governed by the development roadmap, and work with the various BCA line departments to implement the solutions to the industry. There is a need to work closely with the BCA line departments and external stakeholders to formulate and execute the implementation plan. Requirements Project Management Professional (PMP) certified is preferred 3-5 years of working experience in project management as well as leading programme development is preferred Ability to develop operating framework and designing business processes Ability to develop plans and proposals in driving new operating concepts and business models Motivated in leading and driving programme related work proactively Good communications skills and the ability to present proposals and results in a simple and logical manner for decision making Preferably with some experience in using data visualisation tools, such as Tableau and Power BI. Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/540759/sgunitedjobs-senior-manager-department-of-transformation-digitalisation-strategic-planning-and-transformation-office"
"1074","#SGUnitedJobs Executive Manager/Engineer (Department of Transformation & Digitalisation, Strategic Planning and Transformation Office)","#SGUnitedJobs Executive Manager/Engineer (Department of Transformation & Digitalisation, Strategic Planning and Transformation Office)","Building and Construction Authority","Engineering","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 The Department of Transformation & Digitalisation (DoTD) plays an important role in prioritising and managing the portfolio of transformation projects, track progress, oversee support and to seek resource to fund these transformation projects. These works are organised in various capability development areas. We are looking for candidates who will be involved in the development programmes under the respective capability development efforts. The role will involve synchronising the projects deliverables as governed by the development roadmap, and work with the various BCA line departments to implement the solutions to the industry. There is a need to work closely with the BCA line departments and external stakeholders to formulate and execute the implementation plan. Requirements 1-2 years of working experience in project management. Ability to develop operating framework and designing business processes Ability to develop plans and proposals in driving new operating concepts and business models Motivated in leading and driving programme related work proactively Good communications skills and the ability to present proposals and results in a simple and logical manner for decision making Preferably with some experience in using data visualisation tools, such as Tableau and Power BI. Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/540760/sgunitedjobs-executive-managerengineer-department-of-transformation-digitalisation-strategic-planning-and-transformation-office"
"1075","Engineer (Building Plan & Advertisement Licensing Dept/Building Plan and Management Group)","Engineer (Building Plan & Advertisement Licensing Dept/Building Plan and Management Group)","Building and Construction Authority","Engineering","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You will play a major role in administering the Building Control (Temporary Buildings) and (Outdoor Advertising) Regulations. You will be responsible for: Administering the Regulations including developing strategies and policies to facilitate a pro-business environment for the industry Processing submissions of applications for temporary buildings and outdoor signs inclusive of the designs and structural calculations; Carry out inspection and enforcement pertaining to unauthorised erection of signs and temporary structures Liaising with industry professionals and working closely with related agencies Enhancing the processes and operations Requirements - A degree in civil and structural engineering - At least 3-4 years of experience in building structure design. - Good analytical, communication and interpersonal skills. Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/541040/engineer-building-plan-advertisement-licensing-deptbuilding-plan-and-management-group"
"1076","Lecturer / IIT / Applied Artificial Intelligence","Lecturer / IIT / Applied Artificial Intelligence","Temasek Polytechnic","InfoComm, Technology, New Media Communications, Education","30 Sep 2020"," Responsibilities Conduct lessons to full-time and part-time students and carry out all relevant responsibilities related to the teaching role Plan lessons, learning activities and resources and assessment that align with the learning outcomes of the lessons and the module/subject, incorporate active learning strategies and real-world/industry-relevant contexts Work in teams to put forward recommendations from students’ feedback and contribute in curriculum review to enhance the learning experience Supervise and develop students through students’ personal mentor group, students’ clubs, activities, projects and competitions, etc. Participate actively in professional developmental activities such as industrial engagement and collaboration projects Establish network and coordinate with industry partners for student internship Contribute to poly-wide/school-wide events or activities Expand students’ learning experience by organising learning journeys, educational programmes, events, etc Collaborate with overseas industry or educational institutions to plan and lead overseas study trips, immersion trips or events etc. to develop students as global citizens   Prerequisites Relevant experience in Information Technology, Computer Science, Artificial Intelligence or equivalent With at least 2 years of relevant industry experience in software development, machine learning, deep learning, natural language processing Familiar with at least one of the following: Android Studio, Nvidia RAPIDS, Nvidia NeMo, Pandas, NumPy, Scikit Learn, REST Api, NodeJS, Web Development, Database Design, Object-Oriented Programming, and Design, Robotic Process Automation Experience in using any of the Deep Learning frameworks such as TensorFlow, TensorFlow2, Caffe, Caffe2, PyTorch, or MxNet, Keras or CNTK; Relevant industry certifications e.g. Nvidia Deep Learning Instructor or equivalent will be an advantage A passion and genuine interest to share knowledge and interact with people Good communication and interpersonal skills ","https://careers.pageuppeople.com/688/cwlive/en/job/541071/lecturer-iit-applied-artificial-intelligence"
"1077","#SGUnitedJobs Temporary Audit and Site Inspectors (on Condominium Developments)","#SGUnitedJobs Temporary Audit and Site Inspectors (on Condominium Developments)","Building and Construction Authority","Building and Estate Management, Engineering","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You are required to perform audit checks and inspections on common facilities in condominium developments to ensure that they adhere to relevant guidelines and regulations relating to safe management measures.  You are also expected to prepare reports after inspectionsand audit checks.  Requirements Physically fit Relevant experience in inspections will be an advantage Able to perform duties on weekends and public holidays, if necessary Good oral communication and report writing skills Training will be provided Able to commit to at least 3 months This is a 3-month contract position. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/541110/sgunitedjobs-temporary-audit-and-site-inspectors-on-condominium-developments"
"1078","Senior Manager/Manager (Digitalisation, Built Environment Research and Innovation Institute)","Senior Manager/Manager (Digitalisation, Built Environment Research and Innovation Institute)","Building and Construction Authority","InfoComm, Technology, New Media Communications, Engineering, Others","1 Oct 2020"," Work location: 200 Braddell Road Singapore 579700 Responsibilities You will be part of the team to drive digital transformation effort for the built environment industry. You will be involved in: • formulating and implementing industry-wide digital transformation action plans;• working with leading private & public stakeholders to review and reengineer their business processes enabled by digital technology for their projects and organisations;• working with industry practitioners to develop good practice guides for effective digital technology adoption;• working with technology providers and research institutions to develop and customise their solutions to address problems faced by theindustry; and• working with institutes of higher learning to develop training courses for the industry practitioners and students to build up relevantdigital capability. Requirements • A degree in engineering, information technology, building or construction-related discipline with relevant working experience in thebuilt environment industry.• Strong interest in digital technology and its application.• Experience in design thinking, digital platform, IoT, data analytics will be an added advantage.• Strong analytical, research, writing, presentation and interpersonal skills.• Able to work independently as well as a team effectively. Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience.  Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/541793/senior-managermanager-digitalisation-built-environment-research-and-innovation-institute"
"1079","Executive / Senior Engineer (Transit Shelter Engineering Department, Building Resilience Group)","Executive / Senior Engineer (Transit Shelter Engineering Department, Building Resilience Group)","Building and Construction Authority","Engineering","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You will process CD C&S engineering plans of civil defence shelters in MRT stations submitted by consultants, conduct regulatory audit off-site and on-site inspections during construction, as well as to witness and assess shelter commissioning tests. In addition, you will provide CD specialist engineering advice to other agencies on shelter matters. Requirements Degree in Civil & Structural engineering. 1 to 3 years of civil & structural design and site supervision experience in building engineering works. Passing of PEB Fundamentals of Engineering Examination (FEE) would be an advantage.    Good writing and communication skills. Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/542089/executive-senior-engineer-transit-shelter-engineering-department-building-resilience-group"
"1080","#SGUnitedJobs Audit and Enforcement Officers","#SGUnitedJobs Audit and Enforcement Officers","Building and Construction Authority","Engineering","1 Oct 2020"," Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550 Responsibilities You will be part of a team in dealing with COVID-19 pandemic related operations. You will be responsible in one of the two work areas described below: Audit and Enforcement Perform investigations and conduct interviews with relevant construction project parties Monitor and enforce against contraventions under relevant regulations relating to construction and COVID-19 Carry out data analysis for intelligence gathering and report findings to BCA Management Inspection and Coordination Perform site inspections and report findings Coordinate and oversee the scheduling, monitoring progress and deadlines of inspections for construction sites/dormitories and its facilities Manage and respond to feedback pertaining to the inspections Requirements: Possess tertiary qualification preferably in Building-related disciplines Relevant experience in carrying inspections & or conducting investigations will be an advantage Ability to analyse multifaceted information and draw insights Strong communication and interpersonal skills Self-motivated, resourceful, possess sharp investigative acumen with good critical thinking and writing skills Proficient in Microsoft Office including Excel Proficiency in data analytics and PowerBI will be an advantage This is a 6-month contract position (renewable). Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/542791/sgunitedjobs-audit-and-enforcement-officers"
